datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-09-12 18:00:00,Japan J1 League,Machida Zelvia,Yokohama,Yokohama +1.0,High,1.0,1.925,0.19218750000000007,1.0000000000000002,0.0,-1.0,league,3,team_a_xg: -0.655; odds_ft_1: 0.182; market_prob_u25: -0.075,team_b_xg: -0.634; odds_ft_2: -0.087; market_prob_btts_yes: -0.046,
2025-09-13 22:00:00,England Premier League,Crystal Palace,Sunderland,Sunderland +0.75,High,0.75,1.925,0.09940917766368329,1.0510638297872341,0.38235294117647056,-0.75,league,1,team_a_xg: -0.648; odds_ft_1: 0.169; odds_ft_2: 0.070,team_b_xg: -0.649; odds_ft_2: -0.107; market_prob_btts_yes: -0.054,"Agree: With Palace's squad resembling a casualty list from a bad action flick, Sunderland's underdog bite could turn this into a purr-fect upset – grab that +0.75 before it vani..."
2025-09-13 22:15:00,Spain La Liga,Real Sociedad,Real Madrid,Real Sociedad +1.0,High,1.0,1.925,0.24372005728807225,0.25,1.0,1.0,league,1,team_a_xg: -0.674; odds_ft_1: -0.210; odds_ft_2: -0.075,team_b_xg: -0.794; odds_ft_2: 0.175; odds_ft_1: 0.077,"Agree: Handicapping Madrid with all their banged-up stars and jet-lagged Brazilians feels like betting on a surefire snoozefest where Sociedad sneaks a cover, because who needs ..."
2025-09-13 23:00:00,France Ligue 1,Nice,Nantes,Nantes +0.75,High,0.75,1.925,0.06498984821665074,1.1071428571428572,0.38235294117647056,-0.75,league,1,team_a_xg: -0.658; odds_ft_1: 0.183; odds_ft_2: 0.072,team_b_xg: -0.633; odds_ft_2: -0.096; market_prob_btts_yes: -0.044,"Agree: Nantes could claw back like feisty canaries against a Nice side nursing wounds, turning this handicap into a golden egg at those odds."
2025-09-14 00:30:00,Spain La Liga,Athletic Club Bilbao,Deportivo Alavés,Deportivo Alavés +1.0,High,1.0,1.925,0.2610750467955329,1.0510638297872341,0.38235294117647056,-1.0,league,1,team_a_xg: -0.661; odds_ft_1: 0.188; odds_ft_2: 0.099,team_b_xg: -0.625; odds_ft_2: -0.144; market_prob_btts_yes: -0.080,"Agree: Betting on Alavés +1.0 is like picking the underdog that bites back—Bilbao's home fortress might crack just enough for a narrow escape, keeping this handicap alive with o..."
2025-09-14 00:30:00,England Premier League,West Ham United,Tottenham Hotspur,West Ham United +0.5,High,0.5,1.925,0.21110371871745154,0.7010309278350515,1.0,0.5,league,1,team_a_xg: -0.663; odds_ft_1: -0.190; odds_ft_2: -0.061,team_b_xg: -0.710; odds_ft_2: 0.153; odds_ft_1: 0.052,"Agree: Hammers might not hammer home a win, but with Spurs' injury parade turning their attack into a limp noodle, West Ham's got a solid shot at snatching at least a draw in th..."
2025-09-14 02:45:00,Italy Serie A,Fiorentina,Napoli,Napoli -0.25,High,-0.25,1.925,0.21935468216639767,0.25,0.9569377990430622,0.25,league,1,team_a_xg: -0.644; odds_ft_1: -0.176; odds_ft_2: -0.052,team_b_xg: -0.683; odds_ft_2: 0.115; rolling_corners_against_form_away: -0.102,Disagree: Betting on a Napoli side limping with more injuries than a clown car in a demolition derby is like expecting a one-legged man to win an ass-kicking contest—pure folly.
2025-09-14 03:00:00,Spain La Liga,Atlético Madrid,Villarreal,Villarreal +0.5,High,0.5,1.925,0.30670462169344154,1.0510638297872341,0.9565217391304348,-0.5,league,1,team_a_xg: -0.667; odds_ft_1: 0.061; market_prob_u25: 0.046,team_b_xg: -0.713; rolling_synth_goals_minus_xg_form_away: 0.082; odds_ft_2: -0.067,"Agree: Villarreal +0.5 looks like a steal, as Atlético's injury-riddled squad might just fumble this home 'advantage' into a draw or worse, turning their fortress into a house o..."
2025-09-14 03:00:00,England Premier League,Brentford,Chelsea,Brentford +0.75,High,0.75,1.925,0.07012400605984728,0.25,1.0,0.75,league,1,team_a_xg: -0.649; odds_ft_1: -0.178; odds_ft_2: -0.070,team_b_xg: -0.763; odds_ft_2: 0.178; odds_ft_1: 0.081,"Agree: Brentford's underdog bite could chew up a Chelsea squad limping like they've danced with disaster, turning that +0.75 into a handicap that's more gift than gamble."
2025-09-14 18:30:00,Italy Serie A,Roma,Torino,Torino +1.0,High,1.0,1.925,0.2610750467955329,1.0510638297872341,0.38235294117647056,-1.0,league,1,team_a_xg: -0.660; odds_ft_1: 0.192; odds_ft_2: 0.099,team_b_xg: -0.654; odds_ft_2: -0.141; team_a_xg: -0.047,"Agree: With Roma's squad looking like a hospital ward full of walking wounded, Torino's +1.0 handicap feels like betting on a sure-footed bull dodging a limping wolf pack."
2025-09-14 21:00:00,England Premier League,Burnley,Liverpool,Burnley +1.5,High,1.5,1.925,0.284592691294209,0.2972972972972973,1.4296875,1.5,league,1,team_a_xg: -0.647; odds_ft_1: -0.219; odds_ft_2: -0.076,team_b_xg: -0.797; odds_ft_2: 0.214; odds_ft_1: 0.197,"Agree: With Liverpool's defense leaking like a sieve minus Konate, Burnley could sneak a cover on that +1.5, turning a potential thrashing into a mere spanking."
2025-09-14 21:00:00,France Ligue 1,Lille,Toulouse,Toulouse +0.75,High,0.75,1.925,0.20672285825223066,1.0510638297872341,0.5428571428571428,-0.75,league,1,team_a_xg: -0.619; odds_ft_1: 0.084; team_b_xg: -0.034,team_b_xg: -0.653; odds_ft_2: -0.095; odds_ft_1: -0.030,"Agree: Toulouse's underdog bite could surprise Lille's limping lineup, turning this handicap into a cheeky win for bettors who love a good upset punt."
2025-09-14 21:00:00,Italy Serie A,Atalanta,Lecce,Lecce +1.25,High,1.25,1.925,0.18581290573501985,1.4024390243902438,0.38235294117647056,-1.25,league,1,team_a_xg: -0.694; odds_ft_1: 0.235; odds_ft_2: 0.097,team_b_xg: -0.634; odds_ft_2: -0.161; odds_ft_1: -0.039,Rate limited—try again later.
2025-09-14 22:15:00,Spain La Liga,Levante UD,Real Betis,Real Betis -0.25,High,-0.25,1.925,0.1526466063617774,0.345388505277904,0.9569377990430622,0.25,league,1,team_a_xg: -0.618; odds_ft_1: -0.119; team_b_xg: -0.048,team_b_xg: -0.671; odds_ft_2: 0.118; rolling_xg_for_form_home: 0.039,Rate limited—try again later.
2025-09-14 23:15:00,France Ligue 1,PSG,Lens,Lens +1.5,High,1.5,1.925,0.4331464734201954,1.4024390243902438,0.5428571428571428,-1.5,league,1,team_a_xg: -0.729; odds_ft_1: 0.270; odds_ft_2: 0.123,team_b_xg: -0.664; odds_ft_2: -0.171; odds_ft_1: -0.046,Rate limited—try again later.
2025-09-14 23:15:00,France Ligue 1,Strasbourg,Le Havre,Le Havre +1.0,High,1.0,1.925,0.3504865763733519,1.060784497684354,0.5428571428571428,-1.0,league,1,team_a_xg: -0.680; odds_ft_1: 0.203; odds_ft_2: 0.092,team_b_xg: -0.643; odds_ft_2: -0.109; odds_ft_1: -0.035,Rate limited—try again later.
2025-09-15 02:45:00,France Ligue 1,Rennes,Olympique Lyonnais,Olympique Lyonnais -0.25,High,-0.25,1.925,0.21935468216639767,0.25,0.9569377990430622,0.25,league,1,team_a_xg: -0.629; odds_ft_1: -0.120; odds_ft_2: -0.047,team_b_xg: -0.709; odds_ft_2: 0.073; market_prob_u25: -0.026,Rate limited—try again later.
2025-09-16 00:30:00,Italy Serie A,Hellas Verona,Cremonese,Cremonese +0.25,High,0.25,1.925,0.220070768672119,0.7010309278350515,0.6774193548387096,-0.25,league,1,team_a_xg: -0.618; team_b_xg: -0.052; market_prob_o25: -0.039,team_b_xg: -0.663; rolling_xg_for_form_home: 0.075; odds_ft_2: -0.038,Rate limited—try again later.
2025-09-16 02:45:00,Italy Serie A,Como,Genoa,Genoa +0.75,High,0.75,1.925,0.20672285825223066,1.0510638297872341,0.5428571428571428,-0.75,league,1,team_a_xg: -0.628; odds_ft_1: 0.185; odds_ft_2: 0.077,team_b_xg: -0.671; odds_ft_2: -0.085; odds_ft_1: -0.027,Rate limited—try again later.
