datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-09-12 18:00:00,Japan J1 League,Machida Zelvia,Yokohama,Yokohama +1.0,High,1.0,1.925,0.2266826017174084,1.0375,0.2727272727272727,-1.0,league,3,team_a_xg: -0.691; odds_ft_1: 0.162; team_b_xg: -0.082,team_b_xg: -0.552; odds_ft_2: -0.087; team_a_xg: -0.057,
2025-09-13 22:00:00,England Premier League,Newcastle United,Wolverhampton Wanderers,Wolverhampton Wanderers +1.25,High,1.25,1.925,0.2707442763478874,1.2666666666666666,0.3340349978279371,-1.25,league,1,team_a_xg: -0.713; odds_ft_1: 0.195; odds_ft_2: 0.121,team_b_xg: -0.569; odds_ft_2: -0.132; team_a_xg: -0.084,"Agree: Betting on Wolves +1.25 feels like spotting a bargain in a flea market fire sale, especially with Newcastle's squad resembling a MASH unit after a bad day at the office."
2025-09-13 22:00:00,England Premier League,Crystal Palace,Sunderland,Sunderland +0.75,High,0.75,1.925,0.2658236747714312,1.0883534136546185,0.7432432432432432,-0.75,league,1,team_a_xg: -0.697; odds_ft_1: 0.153; odds_ft_2: 0.083,team_b_xg: -0.558; odds_ft_2: -0.095; team_a_xg: -0.089,"Agree: Betting on Sunderland +0.75 is a smart punt, as Palace's injury-riddled squad is collapsing faster than a house of cards in a windstorm, handing the underdogs a juicy sho..."
2025-09-13 22:15:00,Spain La Liga,Real Sociedad,Real Madrid,Real Sociedad +1.0,High,1.0,1.925,0.19218750000000007,0.0,1.0493827160493827,1.0,league,1,team_a_xg: -0.730; odds_ft_1: -0.223; odds_ft_2: -0.087,team_b_xg: -0.695; odds_ft_2: 0.179; odds_ft_1: 0.068,"Agree: Real Madrid's injury parade turns this into a limp chase, making Sociedad's +1.0 handicap a cheeky steal at those odds, not some fool's errand."
2025-09-14 00:30:00,Spain La Liga,Athletic Club Bilbao,Deportivo Alavés,Deportivo Alavés +1.0,High,1.0,1.925,0.19218750000000007,1.0883534136546185,0.0,-1.0,league,1,team_a_xg: -0.679; odds_ft_1: 0.172; odds_ft_2: 0.119,team_b_xg: -0.567; odds_ft_2: -0.112; team_a_xg: -0.100,Disagree: Betting on Alavés +1.0 is like handing Bilbao a free goal – their home dominance will turn this 'safe' handicap into a soggy napkin of regret.
2025-09-14 00:30:00,England Premier League,West Ham United,Tottenham Hotspur,West Ham United +0.5,High,0.5,1.925,0.18231023438667376,0.6464646464646465,0.9454545454545454,0.5,league,1,team_a_xg: -0.699; odds_ft_1: -0.211; team_b_xg: -0.075,team_b_xg: -0.640; odds_ft_2: 0.168; market_prob_btts_yes: 0.054,"Agree: Hammers might not hammer out a win, but with Spurs' stars nursing boo-boos, this draw-or-better bet smells like a steal at those odds, you lucky punter."
2025-09-14 03:00:00,Spain La Liga,Atlético Madrid,Villarreal,Villarreal +0.5,High,0.5,1.925,0.1459245900656329,1.0883534136546185,0.7755102040816326,-0.5,league,1,team_a_xg: -0.711; rolling_synth_xga_per_shot_conceded_form_away: -0.080; odds_ft_1: 0.078,team_b_xg: -0.643; team_a_xg: -0.082; odds_ft_2: -0.066,"Disagree: Villarreal's +0.5 bet looks like a submarine sinking fast with their star Baena out on appendicitis leave, while Atlético's home fortress might just hold despite their..."
2025-09-14 03:00:00,England Premier League,Brentford,Chelsea,Brentford +0.75,High,0.75,1.925,0.13750000000000007,0.0,1.0493827160493827,0.75,league,1,team_a_xg: -0.670; odds_ft_1: -0.185; team_b_xg: -0.083,team_b_xg: -0.687; odds_ft_2: 0.187; team_a_xg: -0.066,"Agree: Betting on Brentford +0.75 is like handing Chelsea a beehive to juggle with their injury-riddled squad buzzing for an upset, odds screaming value while the Blues limp in ..."
2025-09-14 21:00:00,England Premier League,Burnley,Liverpool,Burnley +1.5,High,1.5,1.925,0.314302550672506,0.30303030303030304,1.3770491803278688,1.5,league,1,team_a_xg: -0.686; odds_ft_1: -0.221; odds_ft_2: -0.095,team_b_xg: -0.682; odds_ft_2: 0.224; odds_ft_1: 0.119,"Disagree: Liverpool's firepower might turn Burnley's defense into Swiss cheese, easily winning by two or more despite a few bumps and bruises."
2025-09-14 21:00:00,Italy Serie A,Atalanta,Lecce,Lecce +1.25,High,1.25,1.925,0.11938463113015901,1.6073298429319371,0.4791666666666667,-1.25,league,1,team_a_xg: -0.760; odds_ft_1: 0.194; odds_ft_2: 0.125,team_b_xg: -0.573; odds_ft_2: -0.137; team_a_xg: -0.079,"Agree: With Atalanta's strikers looking more fragile than a house of cards in a windstorm, Lecce's +1.25 handicap feels like a safe bet against a team nursing egos and injuries."
2025-09-14 21:00:00,France Ligue 1,Lille,Toulouse,Toulouse +0.75,High,0.75,1.925,0.08849420053845611,1.246753246753247,0.5822784810126582,-0.75,league,1,team_a_xg: -0.667; odds_ft_1: 0.112; rolling_sot_against_form_home: 0.070,team_b_xg: -0.564; odds_ft_2: -0.084; team_a_xg: -0.078,"Disagree: Toulouse's +0.75 handicap smells like a trap for suckers, as Lille's home dominance could turn this into a one-sided feast, leaving underdogs begging for scraps."
2025-09-14 23:15:00,France Ligue 1,PSG,Lens,Lens +1.5,High,1.5,1.925,0.3111262641675772,1.6101694915254237,0.5822784810126582,-1.5,league,1,team_a_xg: -0.778; odds_ft_1: 0.207; odds_ft_2: 0.165,team_b_xg: -0.569; odds_ft_2: -0.149; team_a_xg: -0.070,"Agree: Lens +1.5 is a smart hedge against PSG's injury circus, where even the boss is down for the count—expect a nail-biter, not a blowout, as the Parisians limp like they've b..."
2025-09-14 23:15:00,France Ligue 1,Strasbourg,Le Havre,Le Havre +1.0,High,1.0,1.925,0.18848915904712324,1.2605676485091732,0.4791666666666667,-1.0,league,1,team_a_xg: -0.742; odds_ft_1: 0.175; odds_ft_2: 0.128,team_b_xg: -0.574; odds_ft_2: -0.099; team_a_xg: -0.080,"Agree: Le Havre's +1 handicap looks like a safe bet, as Strasbourg's injury parade could turn this match into a limp-along snoozefest where the visitors sneak a cover."
2025-09-15 00:00:00,Italy Serie A,Sassuolo,Lazio,Lazio -0.5,High,-0.5,1.925,0.08466790974808941,0.30303030303030304,1.1156462585034013,0.5,league,1,team_a_xg: -0.669; odds_ft_1: -0.197; team_b_xg: -0.078,team_b_xg: -0.627; odds_ft_2: 0.171; rolling_xg_for_form_home: 0.077,"Disagree: Lazio's injury-riddled squad looks more like a hospital ward than a winning machine, setting up Sassuolo for a cheeky home upset at these odds."
2025-09-15 18:00:00,Japan J1 League,Tokyo,Tokyo Verdy,Tokyo Verdy +0.25,High,0.25,1.925,0.6014013498140582,0.14285714285714285,0.5,-0.25,league,3,team_a_xg: -0.700; team_b_xg: -0.075; market_prob_u25: -0.071,team_b_xg: -0.587; team_a_xg: -0.076; odds_ft_2: -0.045,
2025-09-16 00:30:00,Italy Serie A,Hellas Verona,Cremonese,Cremonese +0.25,High,0.25,1.925,0.22240827105450514,0.6464646464646465,0.5822784810126582,-0.25,league,1,team_a_xg: -0.664; team_b_xg: -0.084; rolling_synth_goals_per_sot_form_away: -0.060,team_b_xg: -0.566; team_a_xg: -0.080; rolling_xg_for_form_home: 0.069,"Agree: Betting on Cremonese +0.25 feels like stealing candy from a Verona baby, with their injury woes turning this into a potential upset feast at juicy odds."
2025-09-16 02:45:00,Italy Serie A,Como,Genoa,Genoa +0.75,High,0.75,1.925,0.11283179174714866,1.1333333333333333,0.4791666666666667,-0.75,league,1,team_a_xg: -0.656; odds_ft_1: 0.170; rolling_xg_for_form_away: 0.103,team_b_xg: -0.588; odds_ft_2: -0.088; team_a_xg: -0.083,Unable to fetch insight—rely on EV!
