datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-09-12 18:00:00,Japan J1 League,Vissel Kobe,Kashiwa Reysol,Vissel Kobe -0.25,High,-0.25,1.925,0.25662292875074433,1.0,0.23529411764705882,-0.25,league,3,team_a_xg: -0.607; market_prob_u25: -0.067; team_b_xg: -0.048,team_b_xg: -0.690; team_a_xg: -0.068; odds_ft_2: -0.041,
2025-09-14 03:00:00,Spain La Liga,Atlético Madrid,Villarreal,Villarreal +0.5,High,0.5,1.925,0.17507766010254877,1.0769230769230769,0.7948717948717948,-0.5,league,1,team_a_xg: -0.645; odds_ft_1: 0.081; market_prob_u25: 0.068,team_b_xg: -0.685; odds_ft_2: -0.073; team_a_xg: -0.063,"Agree: Atlético's injury-riddled lineup looks shakier than a house of cards in a windstorm, so Villarreal snagging at least a draw feels like a safe bet without the usual home-t..."
2025-09-14 03:00:00,England Premier League,Brentford,Chelsea,Brentford +0.75,High,0.75,1.925,0.13750000000000007,0.0,1.0769230769230769,0.75,league,1,team_a_xg: -0.618; odds_ft_1: -0.165; odds_ft_2: -0.069,team_b_xg: -0.737; odds_ft_2: 0.186; odds_ft_1: 0.056,Agree: Backing Brentford +0.75 at 1.93 feels like a cheeky punt on Chelsea's injury-riddled squad stumbling just enough to keep this derby from turning into a blues blowout.
2025-09-14 03:05:00,France Ligue 1,Auxerre,Monaco,Auxerre +0.75,High,0.75,1.925,0.0634129981379083,0.35135135135135137,1.0769230769230769,0.75,league,1,team_a_xg: -0.621; odds_ft_1: -0.194; odds_ft_2: -0.079,team_b_xg: -0.722; odds_ft_2: 0.183; odds_ft_1: 0.062,Unable to fetch insight—rely on EV!
2025-09-14 18:30:00,Italy Serie A,Roma,Torino,Torino +1.0,High,1.0,1.925,0.2601014890716747,1.1020408163265305,0.4198528114193545,-1.0,league,1,team_a_xg: -0.653; odds_ft_1: 0.171; odds_ft_2: 0.090,team_b_xg: -0.642; odds_ft_2: -0.138; team_a_xg: -0.081,"Agree: Torino's handicap bet looks like a safe bullpen with Roma's squad limping like they've been hit by a pasta truck, turning this into a value play instead of a Roman rout."
2025-09-14 21:00:00,France Ligue 1,Lille,Toulouse,Toulouse +0.75,High,0.75,1.925,0.2955284626883852,1.1020408163265305,0.7948717948717948,-0.75,league,1,team_a_xg: -0.619; odds_ft_1: 0.106; elo_diff: 0.040,team_b_xg: -0.638; odds_ft_2: -0.105; team_a_xg: -0.068,"Agree: Toulouse +0.75 looks like a steal, as Lille's injury-riddled squad might limp through this like a dog with three legs, giving the underdogs a fighting chance to avoid a t..."
2025-09-14 21:00:00,England Premier League,Burnley,Liverpool,Burnley +1.5,High,1.5,1.925,0.2902436578233613,0.35135135135135137,1.459016393442623,1.5,league,1,team_a_xg: -0.624; odds_ft_1: -0.200; odds_ft_2: -0.086,team_b_xg: -0.735; odds_ft_2: 0.217; odds_ft_1: 0.130,"Agree: Burnley's got a shot at not getting hammered, like a scrappy underdog dodging Liverpool's leaky offense amid their injury circus."
2025-09-14 21:00:00,Italy Serie A,Atalanta,Lecce,Lecce +1.25,High,1.25,1.925,0.2548370802306158,1.3922360851482025,0.48437500000000006,-1.25,league,1,team_a_xg: -0.674; odds_ft_1: 0.211; odds_ft_2: 0.106,team_b_xg: -0.625; odds_ft_2: -0.160; team_a_xg: -0.078,"Agree: Lecce's underdog bite might just keep this from turning into an Atalanta avalanche, especially with the hosts nursing more wounds than a clumsy chef."
2025-09-14 22:15:00,Spain La Liga,Levante UD,Real Betis,Real Betis -0.25,High,-0.25,1.925,0.173170884384949,0.35135135135135137,0.9955357142857139,0.25,league,1,team_a_xg: -0.582; odds_ft_1: -0.109; odds_ft_2: -0.057,team_b_xg: -0.633; odds_ft_2: 0.142; team_a_xg: -0.067,Disagree: Backing Betis with their mounting injuries is like betting on a leaky boat in a storm – bound to sink your stakes faster than you can say 'handicap headache'.
2025-09-14 23:15:00,France Ligue 1,PSG,Lens,Lens +1.5,High,1.5,1.925,0.21725286847264563,1.7024539877300613,0.48437500000000006,-1.5,league,1,team_a_xg: -0.703; odds_ft_1: 0.244; odds_ft_2: 0.118,team_b_xg: -0.644; odds_ft_2: -0.198; team_a_xg: -0.070,"Agree: With PSG's squad limping like a three-legged racehorse after the international break, Lens could sneak a cover on that +1.5 spread, turning Paris's pain into punters' gain."
2025-09-14 23:15:00,France Ligue 1,Strasbourg,Le Havre,Le Havre +1.0,High,1.0,1.925,0.14398786754217685,1.3333333333333333,0.48437500000000006,-1.0,league,1,team_a_xg: -0.653; odds_ft_1: 0.190; odds_ft_2: 0.091,team_b_xg: -0.646; odds_ft_2: -0.119; team_a_xg: -0.081,"Agree: Le Havre's recent upset win over Strasbourg screams value in this handicap, like betting on underdogs who bite back harder than expected in a tight scrap."
2025-09-14 23:30:00,Germany Bundesliga,Borussia M'gladbach,Werder Bremen,Werder Bremen +0.5,High,0.5,1.925,0.1340095670779205,1.0769230769230769,0.6888888888888889,-0.5,league,1,team_a_xg: -0.628; odds_ft_1: 0.084; market_prob_u25: 0.061,team_b_xg: -0.707; odds_ft_2: -0.079; team_a_xg: -0.072,Disagree: Backing Bremen +0.5 is like betting on a leaky boat in a storm – Gladbach's recent thrashings of them scream another sinking performance ahead.
2025-09-15 02:45:00,France Ligue 1,Rennes,Olympique Lyonnais,Olympique Lyonnais -0.25,High,-0.25,1.925,0.173170884384949,0.35135135135135137,0.9955357142857139,0.25,league,1,team_a_xg: -0.614; odds_ft_1: -0.106; odds_ft_2: -0.048,team_b_xg: -0.662; odds_ft_2: 0.104; team_a_xg: -0.066,"Disagree: Lyon's got the odds looking tasty, but betting on them away at Rennes is like expecting a lion to tame a red-and-black bull in its own arena—pure fantasy football folly."
2025-09-16 00:30:00,Italy Serie A,Hellas Verona,Cremonese,Cremonese +0.25,High,0.25,1.925,0.08417902141587696,0.9375,0.7948717948717948,-0.25,league,1,team_a_xg: -0.583; team_b_xg: -0.044; market_prob_o25: -0.033,team_b_xg: -0.636; team_a_xg: -0.092; rolling_xg_for_form_home: 0.049,"Agree: Cremonese's underdog bite might just chew through Verona's shaky defense, turning this handicap into a tasty profit snack at those odds."
2025-09-16 02:45:00,Italy Serie A,Como,Genoa,Genoa +0.75,High,0.75,1.925,0.25585991665584124,1.1020408163265305,0.6888888888888889,-0.75,league,1,team_a_xg: -0.608; odds_ft_1: 0.163; odds_ft_2: 0.076,team_b_xg: -0.653; odds_ft_2: -0.088; team_a_xg: -0.060,Agree: Backing Genoa +0.75 at 1.93 is like betting on a caffeinated squirrel in a nut race – they've got the edge with solid form and Como's injury woes might leave them chasing...
